case,comment,likes_raw,likes,date_iso,hash_id,comment_norm,comment_length,emojis_list,hashtags_list,days_old,language,is_brazilian,comment_anon,theme_C1,theme_C2,theme_C3,theme_C4,theme_C5,theme_NA,theme_conf,character,char_conf,tone,tone_conf,needs_human_review,coder_agreement,reviewer_used,kappa_reviewer_a,kappa_reviewer_b,rule_id,theme_C1_a,theme_C2_a,theme_C3_a,theme_C4_a,theme_C5_a,theme_NA_a,theme_C1_b,theme_C2_b,theme_C3_b,theme_C4_b,theme_C5_b,theme_NA_b,classification_source,human_reviewed
Bruno_Mars,@bruninhoedobrasil #rumoaos200M,2 Me gusta,2,2025-12-11 16:06:49+00:00,BRUNO_MARS_2819,@bruninhoedobrasil #rumoaos200m,31,[],['#rumoaos200M'],399,pt,True,@user #rumoaos200M,False,False,False,False,True,False,0.92,Afetivo,0.9,Positivo,0.88,False,True,False,,,rumoaos200m_shell,,,,,,,,,,,,,rule,False
Bruno_Mars,🔥🇧🇷💚,0,0,2026-02-04 01:52:39+00:00,BRUNO_MARS_6923,🔥🇧🇷💚,4,"['🔥', '💚', '🇧🇷']",[],454,,True,🔥🇧🇷💚,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_mixed_foreign,,,,,,,,,,,,,rule,False
Bruno_Mars,"Amamos você, Bruninho.💚💛🇧🇷🇧🇷🇧🇷❤️😍",2 Me gusta,2,2026-01-26 18:28:13+00:00,BRUNO_MARS_5994,"amamos você, bruninho.💚💛🇧🇷🇧🇷🇧🇷❤️😍",33,"['😍', '🇧🇷', '💛', '❤️', '💚']",[],445,pt,True,"Amamos você, Bruninho.💚💛🇧🇷🇧🇷🇧🇷❤️😍",False,False,False,True,True,False,0.92,Afetivo,0.95,Positivo,0.92,False,True,False,,,,False,False,False,True,True,False,False,False,False,True,True,False,llm_agreed,False
Bruno_Mars,😂,1 Me gusta,1,2025-12-21 12:27:30+00:00,BRUNO_MARS_3246,😂,1,['😂'],[],409,,False,😂,False,False,False,True,False,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,affect_combo_foreign,,,,,,,,,,,,,rule,False
Bruno_Mars,💛🇧🇷💚,0,0,2026-02-05 22:31:16+00:00,BRUNO_MARS_7082,💛🇧🇷💚,4,"['🇧🇷', '💚', '💛']",[],455,,True,💛🇧🇷💚,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_mixed_foreign,,,,,,,,,,,,,rule,False
Bruno_Mars,😍🇧🇷🔥,0,0,2025-10-16 23:18:40+00:00,BRUNO_MARS_0555,😍🇧🇷🔥,4,"['😍', '🇧🇷', '🔥']",[],343,,True,😍🇧🇷🔥,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_mixed_foreign,,,,,,,,,,,,,rule,False
Bruno_Mars,💛🇧🇷❤️,2 Me gusta,2,2025-12-09 23:06:19+00:00,BRUNO_MARS_2647,💛🇧🇷❤️,5,"['🇧🇷', '❤️', '💛']",[],397,,True,💛🇧🇷❤️,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_mixed_foreign,,,,,,,,,,,,,rule,False
Bruno_Mars,🇧🇷🇧🇷🇧🇷🇧🇷,1 Me gusta,1,2026-01-09 13:23:18+00:00,BRUNO_MARS_4241,🇧🇷🇧🇷🇧🇷🇧🇷,8,['🇧🇷'],[],428,,True,🇧🇷🇧🇷🇧🇷🇧🇷,False,False,False,False,True,False,0.84,Afetivo,0.86,Positivo,0.84,False,True,False,,,flag_only_foreign_thread,,,,,,,,,,,,,rule,False
Bruno_Mars,🇧🇷🔥🇧🇷🔥🇧🇷🔥 🇧🇷,1 Me gusta,1,2026-02-03 19:18:53+00:00,BRUNO_MARS_6848,🇧🇷🔥🇧🇷🔥🇧🇷🔥 🇧🇷,12,"['🇧🇷', '🔥']",[],453,,True,🇧🇷🔥🇧🇷🔥🇧🇷🔥 🇧🇷,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_mixed_foreign,,,,,,,,,,,,,rule,False
Bruno_Mars,"Até que enfim os 2 milhões vieram, agora faltar bater 1k de comentários 💛💚",1 Me gusta,1,2026-01-28 01:10:12+00:00,BRUNO_MARS_6144,"até que enfim os 2 milhões vieram, agora faltar bater 1k de comentários 💛💚",74,"['💚', '💛']",[],447,pt,True,"Até que enfim os 2 milhões vieram, agora faltar bater 1k de comentários 💛💚",False,False,False,True,False,False,0.9,Afetivo,0.9,Positivo,0.95,False,False,True,1.0,0.5454545454545454,,False,False,False,True,False,False,False,False,False,True,True,False,llm_reviewer,False
Bruno_Mars,@bruninhoedobrasil #rumoaos200m,3 Me gusta,3,2025-12-11 20:24:14+00:00,BRUNO_MARS_2883,@bruninhoedobrasil #rumoaos200m,31,[],['#rumoaos200m'],399,pt,True,@user #rumoaos200m,False,False,False,False,True,False,0.92,Afetivo,0.9,Positivo,0.88,False,True,False,,,rumoaos200m_shell,,,,,,,,,,,,,rule,False
Bruno_Mars,🇧🇷,1 Me gusta,1,2026-01-26 14:55:41+00:00,BRUNO_MARS_5845,🇧🇷,2,['🇧🇷'],[],445,,True,🇧🇷,False,False,False,False,True,False,0.84,Afetivo,0.86,Positivo,0.84,False,True,False,,,flag_only_foreign_thread,,,,,,,,,,,,,rule,False
Bruno_Mars,📍🇧🇷❤️,0,0,2025-11-22 20:00:00+00:00,BRUNO_MARS_1678,📍🇧🇷❤️,5,"['🇧🇷', '📍', '❤️']",[],380,,True,📍🇧🇷❤️,False,False,False,False,True,False,0.86,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_location,,,,,,,,,,,,,rule,False
Bruno_Mars,🔥🇧🇷❤️,0,0,2026-01-08 16:02:30+00:00,BRUNO_MARS_4042,🔥🇧🇷❤️,5,"['🔥', '❤️', '🇧🇷']",[],427,,True,🔥🇧🇷❤️,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_mixed_foreign,,,,,,,,,,,,,rule,False
Bruno_Mars,💚🇧🇷📍,0,0,2026-01-20 02:17:22+00:00,BRUNO_MARS_5112,💚🇧🇷📍,4,"['🇧🇷', '💚', '📍']",[],439,,True,💚🇧🇷📍,False,False,False,False,True,False,0.86,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_location,,,,,,,,,,,,,rule,False
Bruno_Mars,Bruninho 😍,1 Me gusta,1,2026-02-05 14:28:51+00:00,BRUNO_MARS_7029,bruninho 😍,10,['😍'],[],455,pt,True,Bruninho 😍,False,False,False,True,False,False,0.93,Afetivo,0.95,Positivo,0.95,False,False,True,1.0,0.5454545454545454,,False,False,False,True,False,False,False,False,False,True,True,False,llm_reviewer,False
Bruno_Mars,🇧🇷🔥🇧🇷,1 Me gusta,1,2025-11-17 15:04:17+00:00,BRUNO_MARS_1384,🇧🇷🔥🇧🇷,5,"['🇧🇷', '🔥']",[],375,,True,🇧🇷🔥🇧🇷,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_mixed_foreign,,,,,,,,,,,,,rule,False
Bruno_Mars,"FAZ BARULHO, GALERA!!!! UHUUUUUU 🥳🥳🥳🥳🥳🥳🥳🥳🥳🎊🎊🎊🎊🎊🎊🎊",2 Me gusta,2,2026-01-26 11:58:50+00:00,BRUNO_MARS_5813,"faz barulho, galera!!!! uhuuuuuu 🥳🥳🥳🥳🥳🥳🥳🥳🥳🎊🎊🎊🎊🎊🎊🎊",49,"['🥳', '🎊']",[],445,so,False,"FAZ BARULHO, GALERA!!!! UHUUUUUU 🥳🥳🥳🥳🥳🥳🥳🥳🥳🎊🎊🎊🎊🎊🎊🎊",False,False,False,False,True,False,0.8,Afetivo,0.85,Positivo,0.85,False,True,False,,,,False,False,False,False,True,False,False,False,False,False,True,False,llm_agreed,False
Bruno_Mars,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,4 Me gusta,4,2026-01-25 21:56:22+00:00,BRUNO_MARS_5703,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,10,['🇧🇷'],[],444,,True,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,False,False,False,False,True,False,0.84,Afetivo,0.86,Positivo,0.84,False,True,False,,,flag_only_foreign_thread,,,,,,,,,,,,,rule,False
Bruno_Mars,💛,1 Me gusta,1,2026-01-30 01:56:36+00:00,BRUNO_MARS_6415,💛,1,['💛'],[],449,,False,💛,False,False,False,True,False,False,0.83,Afetivo,0.86,Positivo,0.84,False,True,False,,,national_colors_foreign,,,,,,,,,,,,,rule,False
CR7,😍😍😍😍,1 Me gusta,1,2025-08-17 12:23:39+00:00,CR7_2477,😍😍😍😍,4,['😍'],[],962,,False,😍😍😍😍,False,False,False,True,False,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,affect_combo_foreign,,,,,,,,,,,,,rule,False
CR7,Duas lendas!👏👏,0,0,2023-01-04 19:13:24+00:00,CR7_0890,duas lendas!👏👏,14,['👏'],[],6,pt,True,Duas lendas!👏👏,True,False,False,True,False,False,0.9,Afetivo,0.95,Positivo,0.95,True,False,True,0.5454545454545454,0.16666666666666663,,True,False,False,False,False,False,True,False,False,False,True,False,llm_reviewer,False
CR7,❤️,0,0,2023-01-07 16:59:53+00:00,CR7_1178,❤️,2,['❤️'],[],9,,False,❤️,False,False,False,True,False,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,affect_heart_foreign,,,,,,,,,,,,,rule,False
CR7,🕊✨,0,0,2023-01-03 05:47:15+00:00,CR7_0486,🕊✨,2,"['✨', '🕊']",[],5,,False,🕊✨,True,False,False,True,False,False,0.9,Afetivo,0.88,Positivo,0.9,False,False,True,0.5454545454545454,1.0,,True,False,False,False,False,False,True,False,False,True,False,False,llm_reviewer,False
CR7,😢,0,0,2023-01-03 17:08:50+00:00,CR7_0648,😢,1,['😢'],[],5,,False,😢,False,False,False,True,False,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,affect_combo_foreign,,,,,,,,,,,,,rule,False
CR7,😢😍😮😂🔥🙌,0,0,2023-02-04 01:29:07+00:00,CR7_1674,😢😍😮😂🔥🙌,6,"['😍', '🙌', '🔥', '😢', '😂', '😮']",[],37,,False,😢😍😮😂🔥🙌,True,False,False,True,False,False,0.88,Afetivo,0.9,Positivo,0.8,False,False,True,0.5454545454545454,1.0,,True,False,False,False,False,False,True,False,False,True,False,False,llm_reviewer,False
CR7,😭😭😭😭,0,0,2023-01-03 14:17:07+00:00,CR7_0597,😭😭😭😭,4,['😭'],[],5,,False,😭😭😭😭,False,False,False,True,False,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,affect_combo_foreign,,,,,,,,,,,,,rule,False
CR7,🙏🇧🇷❤️,0,0,2023-01-02 13:42:45+00:00,CR7_0179,🙏🇧🇷❤️,5,"['🙏', '🇧🇷', '❤️']",[],4,,True,🙏🇧🇷❤️,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_mixed_foreign,,,,,,,,,,,,,rule,False
CR7,😢😢,0,0,2023-01-27 03:35:54+00:00,CR7_1624,😢😢,2,['😢'],[],29,,False,😢😢,False,False,False,True,False,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,affect_combo_foreign,,,,,,,,,,,,,rule,False
CR7,👏👏👏👏👏🙏🏻🙏🏻🙏🏻,0,0,2023-01-08 00:03:57+00:00,CR7_1214,👏👏👏👏👏🙏🏻🙏🏻🙏🏻,11,"['🙏🏻', '👏']",[],10,,False,👏👏👏👏👏🙏🏻🙏🏻🙏🏻,True,False,False,True,False,False,0.92,Afetivo,0.92,Positivo,0.92,False,False,True,1.0,0.5454545454545454,,True,False,False,True,False,False,True,False,False,False,False,False,llm_reviewer,False
CR7,❤️,0,0,2023-01-06 23:06:49+00:00,CR7_1126,❤️,2,['❤️'],[],8,,False,❤️,False,False,False,True,False,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,affect_heart_foreign,,,,,,,,,,,,,rule,False
CR7,Mandonna,0,0,2023-02-26 19:17:20+00:00,CR7_1799,mandonna,8,[],[],59,,True,Mandonna,True,False,False,False,False,False,0.68,Cognitivo,0.6,Neutro,0.6,False,False,True,1.0,0.0,,True,False,False,False,False,False,False,False,False,False,False,True,llm_reviewer,False
