hash_id,case,comment_anon,emojis_list,hashtags_list,language,is_brazilian,comment_length,theme_C1,theme_C2,theme_C3,theme_C4,theme_C5,theme_NA,theme_conf,character,char_conf,tone,tone_conf,classification_source,rule_id,coder_agreement,reviewer_used,kappa_reviewer_a,kappa_reviewer_b,human_reviewed
BRUNO_MARS_0001,Bruno_Mars,😍🇧🇷😂,"['😍', '😂', '🇧🇷']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0002,Bruno_Mars,😍🇧🇷📍,"['😍', '📍', '🇧🇷']",[],,True,4,False,False,False,False,True,False,0.86,Afetivo,0.88,Positivo,0.86,rule,flag_location,True,False,,,False
BRUNO_MARS_0003,Bruno_Mars,😍🇧🇷💛,"['😍', '🇧🇷', '💛']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0004,Bruno_Mars,😍🇧🇷💛,"['😍', '🇧🇷', '💛']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0005,Bruno_Mars,😍🇧🇷💚,"['😍', '💚', '🇧🇷']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0006,Bruno_Mars,😍🇧🇷🔥,"['😍', '🇧🇷', '🔥']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0007,Bruno_Mars,😍🇧🇷❤️,"['😍', '❤️', '🇧🇷']",[],,True,5,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0008,Bruno_Mars,💛🇧🇷😂,"['🇧🇷', '😂', '💛']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0009,Bruno_Mars,💛🇧🇷📍,"['🇧🇷', '📍', '💛']",[],,True,4,False,False,False,False,True,False,0.86,Afetivo,0.88,Positivo,0.86,rule,flag_location,True,False,,,False
BRUNO_MARS_0010,Bruno_Mars,💛🇧🇷😍,"['🇧🇷', '😍', '💛']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
