,,Bruno_Mars_N,Bruno_Mars_%,CR7_N,CR7_%,Fernanda_Torres_N,Fernanda_Torres_%,Total_N
TEMA,C1: Nacionalismo/Orgulho,127,1.6%,942,36.7%,6519,98.5%,7588
TEMA,C2: Humor/Sátira/Meme,40,0.5%,6,0.2%,30,0.5%,76
TEMA,C3: Conflito/Rivalidade,3,0.0%,21,0.8%,29,0.4%,53
TEMA,C4: Validação/Afeto pelo Estrangeiro,5364,66.2%,1632,63.6%,13,0.2%,7009
TEMA,C5: Apropriação do Espaço Digital,6657,82.2%,71,2.8%,304,4.6%,7032
TEMA,N.A.,28,0.3%,128,5.0%,46,0.7%,202
CARÁTER,Afetivo,7961,98.3%,2489,96.9%,6580,99.4%,17030
CARÁTER,Cognitivo,139,1.7%,79,3.1%,39,0.6%,257
CARÁTER,Total,8100,,2568,,6619,,17287
TOM (SENTIMENTO),Negativo,14,0.2%,185,7.2%,33,0.5%,232
TOM (SENTIMENTO),Neutro,128,1.6%,142,5.5%,48,0.7%,318
TOM (SENTIMENTO),Positivo,7958,98.2%,2241,87.3%,6538,98.8%,16737
TOM (SENTIMENTO),Total,8100,,2568,,6619,,17287
