,,Bruno_Mars_N,Bruno_Mars_%,CR7_N,CR7_%,Fernanda_Torres_N,Fernanda_Torres_%,Total_N
TEMA,C1: Nacionalismo/Orgulho,0,0.0%,11,55.0%,20,100.0%,31
TEMA,C2: Humor/Sátira/Meme,0,0.0%,0,0.0%,0,0.0%,0
TEMA,C3: Conflito/Rivalidade,0,0.0%,0,0.0%,0,0.0%,0
TEMA,C4: Validação/Afeto pelo Estrangeiro,12,60.0%,13,65.0%,0,0.0%,25
TEMA,C5: Apropriação do Espaço Digital,16,80.0%,1,5.0%,1,5.0%,18
TEMA,N.A.,0,0.0%,0,0.0%,0,0.0%,0
CARÁTER,Afetivo,20,100.0%,19,95.0%,20,100.0%,59
CARÁTER,Cognitivo,0,0.0%,1,5.0%,0,0.0%,1
CARÁTER,Total,20,,20,,20,,60
TOM (SENTIMENTO),Neutro,0,0.0%,1,5.0%,0,0.0%,1
TOM (SENTIMENTO),Positivo,20,100.0%,19,95.0%,20,100.0%,59
TOM (SENTIMENTO),Total,20,,20,,20,,60
