,,Bruno_Mars_N,Bruno_Mars_%,CR7_N,CR7_%,Fernanda_Torres_N,Fernanda_Torres_%,Total_N
TEMA,C1: Nacionalismo/Orgulho,107,1.3%,989,38.5%,6515,98.4%,7611
TEMA,C2: Humor/Sátira/Meme,25,0.3%,5,0.2%,13,0.2%,43
TEMA,C3: Conflito/Rivalidade,8,0.1%,19,0.7%,26,0.4%,53
TEMA,C4: Validação/Afeto pelo Estrangeiro,1887,23.3%,1414,55.1%,20,0.3%,3321
TEMA,C5: Apropriação do Espaço Digital,6041,74.6%,37,1.4%,10,0.2%,6088
TEMA,N.A.,32,0.4%,104,4.0%,35,0.5%,171
TEMA,Total,8100,,2568,,6619,,17287
CARÁTER,Afetivo,7939,98.0%,2459,95.8%,6554,99.0%,16952
CARÁTER,Cognitivo,161,2.0%,109,4.2%,65,1.0%,335
CARÁTER,Total,8100,,2568,,6619,,17287
TOM (SENTIMENTO),Negativo,19,0.2%,119,4.6%,38,0.6%,176
TOM (SENTIMENTO),Neutro,143,1.8%,195,7.6%,55,0.8%,393
TOM (SENTIMENTO),Positivo,7938,98.0%,2254,87.8%,6526,98.6%,16718
TOM (SENTIMENTO),Total,8100,,2568,,6619,,17287
