,,Bruno_Mars_N,Bruno_Mars_%,Fernanda_Torres_N,Fernanda_Torres_%,CR7_N,CR7_%,Total_N
TEMA,Nacionalismo/Orgulho,127,1.6%,6519,98.5%,942,36.7%,7588
TEMA,Humor/Sátira/Meme,40,0.5%,30,0.5%,6,0.2%,76
TEMA,Conflito/Rivalidade,3,0.0%,29,0.4%,21,0.8%,53
TEMA,Validação/Afeto pelo Estrangeiro,5364,66.2%,13,0.2%,1632,63.6%,7009
TEMA,Apropriação do Espaço Digital,6657,82.2%,304,4.6%,71,2.8%,7032
TEMA,N.A.,28,0.3%,46,0.7%,128,5.0%,202
CARÁTER,Afetivo,7961,98.3%,6580,99.4%,2489,96.9%,17030
CARÁTER,Cognitivo,139,1.7%,39,0.6%,79,3.1%,257
CARÁTER,Total,8100,100.0%,6619,100.0%,2568,100.0%,17287
TOM (SENTIMENTO),Negativo,14,0.2%,33,0.5%,184,7.2%,231
TOM (SENTIMENTO),Neutro,128,1.6%,48,0.7%,142,5.5%,318
TOM (SENTIMENTO),Positivo,7958,98.2%,6538,98.8%,2242,87.3%,16738
TOM (SENTIMENTO),Total,8100,100.0%,6619,100.0%,2568,100.0%,17287
