,,Bruno_Mars_N,Bruno_Mars_%,CR7_N,CR7_%,Fernanda_Torres_N,Fernanda_Torres_%,Total_N
TEMA,C1: Nacionalismo/Orgulho,89,1.1%,733,28.5%,5959,90.0%,6781
TEMA,C2: Humor/Sátira/Meme,32,0.4%,6,0.2%,21,0.3%,59
TEMA,C3: Conflito/Rivalidade,2,0.0%,16,0.6%,24,0.4%,42
TEMA,C4: Validação/Afeto pelo Estrangeiro,5150,63.6%,1575,61.3%,16,0.2%,6741
TEMA,C5: Apropriação do Espaço Digital,6481,80.0%,56,2.2%,245,3.7%,6782
TEMA,N.A.,318,3.9%,404,15.7%,612,9.2%,1334
CARÁTER,Afetivo,7983,98.6%,2511,97.8%,6582,99.4%,17076
CARÁTER,Cognitivo,117,1.4%,57,2.2%,37,0.6%,211
CARÁTER,Total,8100,,2568,,6619,,17287
TOM (SENTIMENTO),Negativo,10,0.1%,135,5.3%,28,0.4%,173
TOM (SENTIMENTO),Neutro,404,5.0%,437,17.0%,614,9.3%,1455
TOM (SENTIMENTO),Positivo,7686,94.9%,1996,77.7%,5977,90.3%,15659
TOM (SENTIMENTO),Total,8100,,2568,,6619,,17287
