hash_id,case,comment_anon,emojis,themes_a,themes_b,themes_rev,disagreement,kappa_rev_a,kappa_rev_b,theme_C1_a,theme_C2_a,theme_C3_a,theme_C4_a,theme_C5_a,theme_NA_a,character_a,tone_a,confidence_a,theme_C1_b,theme_C2_b,theme_C3_b,theme_C4_b,theme_C5_b,theme_NA_b,character_b,tone_b,confidence_b,theme_C1_rev,theme_C2_rev,theme_C3_rev,theme_C4_rev,theme_C5_rev,theme_NA_rev,character_rev,tone_rev,confidence_rev,theme_C1_h,theme_C2_h,theme_C3_h,theme_C4_h,theme_C5_h,theme_NA_h,character_h,tone_h,human_notes,reviewed_by,reviewed_at,classification_source,needs_human_review
BRUNO_MARS_3347,Bruno_Mars,Até q enfim virou aqui,,C5,C1,C4,C1: só B; C4: só rev; C5: só A,-0.25,-0.25,0,0,0,0,1,0,Afetivo,Positivo,0.75,1,0,0,0,0,0,Afetivo,Positivo,0.75,0,0,0,1,0,0,Afetivo,Positivo,0.85,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_5462,Bruno_Mars,Que rufem os tambores!!!🥁🥁🥁🥁🥁🥁🥁🥁🥁🥁🥁🥁🥁,🥁,C5,C1,C4,C1: só B; C4: só rev; C5: só A,-0.25,-0.25,0,0,0,0,1,0,Afetivo,Positivo,0.88,1,0,0,0,0,0,Afetivo,Positivo,0.78,0,0,0,1,0,0,Afetivo,Positivo,0.82,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_5621,Bruno_Mars,5MIL GENTE!!!!!! CONTAGEM REGRESSSIVA COMEÇOU 💣,💣,C1,C5,C4,C1: só A; C4: só rev; C5: só B,-0.25,-0.25,1,0,0,0,0,0,Afetivo,Positivo,0.72,0,0,0,0,1,0,Afetivo,Positivo,0.8,0,0,0,1,0,0,Afetivo,Positivo,0.87,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_7586,Bruno_Mars,"Só acredito vendo, eu vendo 😳",😳,C5,C2,C4,C2: só B; C4: só rev; C5: só A,-0.25,-0.25,0,0,0,0,1,0,Afetivo,Neutro,0.75,0,1,0,0,0,0,Afetivo,Negativo,0.72,0,0,0,1,0,0,Afetivo,Positivo,0.85,,,,,,,,,,,,llm_reviewer,True
CR7_0712,CR7,Essa foi a mensagem mais bonita de todos os grandes jogadores de futebol da atualidade 👏👏,👏,C5,C1,C4,C1: só B; C4: só rev; C5: só A,-0.25,-0.25,0,0,0,0,1,0,Afetivo,Positivo,0.85,1,0,0,0,0,0,Afetivo,Positivo,0.92,0,0,0,1,0,0,Afetivo,Positivo,0.9,,,,,,,,,,,,llm_reviewer,True
CR7_2036,CR7,"Você é o melhor jogador de futebol da história do mundo. Mas a razão pela qual você é amado é porque é uma pessoa muito gentil, generosa e paciente. Espero que você esteja sempre bem ao lado da sua família. Grande homem.",,C4,"C4,C5",C1,C1: só rev; C4: A vs B; C5: só B,-0.25,-0.36363636363636354,0,0,0,1,0,0,Afetivo,Positivo,0.92,0,0,0,1,1,0,Afetivo,Positivo,0.92,1,0,0,0,0,0,Afetivo,Positivo,0.9,,,,,,,,,,,,llm_reviewer,True
FERNANDA_TORRES_4472,Fernanda_Torres,Linda,,"C1,C5",C1,C4,C1: A vs B; C4: só rev; C5: só A,-0.36363636363636354,-0.25,1,0,0,0,1,0,Afetivo,Positivo,0.85,1,0,0,0,0,0,Afetivo,Positivo,0.85,0,0,0,1,0,0,Afetivo,Positivo,0.85,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_4417,Bruno_Mars,Eu acredito,,C5,N.A.,C4,C4: só rev; C5: só A; N.A.: B,-0.25,0.0,0,0,0,0,1,0,Afetivo,Positivo,0.75,0,0,0,0,0,1,Cognitivo,Neutro,0.75,0,0,0,1,0,0,Afetivo,Positivo,0.85,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_5497,Bruno_Mars,Bora lá!!!🚀😂,🚀 😂,N.A.,C5,"C2,C4",C2: só rev; C4: só rev; C5: só B; N.A.: A,0.0,-0.36363636363636354,0,0,0,0,0,1,Afetivo,Positivo,0.75,0,0,0,0,1,0,Afetivo,Positivo,0.75,0,1,0,1,0,0,Afetivo,Positivo,0.8,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_5746,Bruno_Mars,Só 1.698 .... BORAAAAAA,,C5,N.A.,C4,C4: só rev; C5: só A; N.A.: B,-0.25,0.0,0,0,0,0,1,0,Afetivo,Positivo,0.85,0,0,0,0,0,1,Afetivo,Positivo,0.65,0,0,0,1,0,0,Afetivo,Positivo,0.8,,,,,,,,,,,,llm_reviewer,True
